Tabela,Kolumna,Typ
absences,absenceId,string
absences,approvedBy,null
absences,clubId,string
absences,createdAt,string
absences,createdBy,string
absences,dateFrom,string
absences,dateTo,string
absences,demoSetId,string
absences,isActive,boolean
absences,isDemo,boolean
absences,playerId,string
absences,reason,string
absences,teamId,string
absences,type,string
absences,userId,null
announcements,announcementId,string
announcements,body,string
announcements,createdAt,timestamp
announcements,createdBy,string
announcements,demoSetId,string
announcements,expiresAt,null | timestamp
announcements,icon,string
announcements,isDemo,boolean
announcements,isPinned,boolean
announcements,matchId,string | null
announcements,teamId,string
announcements,title,string
announcements,type,string
announcements,venue,null | map
announcements,venue.address,map
announcements,venue.address.city,string
announcements,venue.address.houseNumber,string
announcements,venue.address.postalCode,string
announcements,venue.address.street,string
announcements,venue.googleMapsUrl,string
announcements,venue.venueName,string
clubs,address,map
clubs,address.apartmentNumber,string
clubs,address.city,string
clubs,address.country,string
clubs,address.district,string
clubs,address.houseNumber,string
clubs,address.postalCode,string
clubs,address.street,string
clubs,address.voivodeship,string
clubs,clubId,string
clubs,clubName,string
clubs,contact,map
clubs,contact.email,string
clubs,contact.phone,string
clubs,createdAt,timestamp
clubs,createdBy,string
clubs,demoSetId,string
clubs,founded,string
clubs,isDemo,boolean
clubs,legalName,string
clubs,logoURL,string
clubs,managers,array
clubs,nip,string
clubs,owner,string
clubs,president,string
clubs,regon,string
clubs,socialMedia,map
clubs,socialMedia.facebook,string
clubs,socialMedia.instagram,string
clubs,transferHistory,array
clubs,website,string
events,attendance,map
events,attendance.confirmed,array
events,attendance.decidedBy,map
events,attendance.decidedBy.demo_player_ania,map
events,attendance.decidedBy.demo_player_ania.at,string
events,attendance.decidedBy.demo_player_ania.by,string
events,attendance.decidedBy.demo_player_ania.byName,string
events,attendance.decidedBy.demo_player_ania.byRole,string
events,attendance.decidedBy.demo_player_grzegorz,map
events,attendance.decidedBy.demo_player_grzegorz.at,string
events,attendance.decidedBy.demo_player_grzegorz.by,string
events,attendance.decidedBy.demo_player_grzegorz.byName,string
events,attendance.decidedBy.demo_player_grzegorz.byRole,string
